OBJECTID,os_topo_to,os_topo_ve,bha_proces,tileref,abshmin,absh2,abshmax,relh2,relhmax,bha_conf,layer,path,UID,area,Type
7134,osgb1000030011109,3,00:00.0,NZ2065,98.4,105.8,108.7,7.4,10.3,99,buildings_nz2065,C:/Users/b8056898/OneDrive - Newcastle University/PhD_CI/Flood_Risk/data/EDINA_data/mastermap_building_heights_4197189/nz/nz2065.gdb|layername=buildings_nz2065,1.00E+12,74,Residential
7135,osgb5000005202734305,1,00:00.0,NZ2065,115.2,117.3,117.7,2.1,2.5,99,buildings_nz2065,C:/Users/b8056898/OneDrive - Newcastle University/PhD_CI/Flood_Risk/data/EDINA_data/mastermap_building_heights_4197189/nz/nz2065.gdb|layername=buildings_nz2065,5.00E+15,16,Residential
7136,osgb1000030011557,3,00:00.0,NZ2065,107.7,114,117.2,6.3,9.5,99,buildings_nz2065,C:/Users/b8056898/OneDrive - Newcastle University/PhD_CI/Flood_Risk/data/EDINA_data/mastermap_building_heights_4197189/nz/nz2065.gdb|layername=buildings_nz2065,1.00E+12,80,Residential
7140,osgb1000030010376,5,00:00.0,NZ2065,104.7,110.9,113.3,6.2,8.6,99,buildings_nz2065,C:/Users/b8056898/OneDrive - Newcastle University/PhD_CI/Flood_Risk/data/EDINA_data/mastermap_building_heights_4197189/nz/nz2065.gdb|layername=buildings_nz2065,1.00E+12,71,Residential
7143,osgb1000030009468,2,00:00.0,NZ2065,98.4,100.8,102,2.4,3.6,99,buildings_nz2065,C:/Users/b8056898/OneDrive - Newcastle University/PhD_CI/Flood_Risk/data/EDINA_data/mastermap_building_heights_4197189/nz/nz2065.gdb|layername=buildings_nz2065,1.00E+12,25,Residential
7144,osgb1000030011342,2,00:00.0,NZ2065,105.6,111.9,114.5,6.3,8.9,99,buildings_nz2065,C:/Users/b8056898/OneDrive - Newcastle University/PhD_CI/Flood_Risk/data/EDINA_data/mastermap_building_heights_4197189/nz/nz2065.gdb|layername=buildings_nz2065,1.00E+12,71,Residential
7150,osgb1000030010616,3,00:00.0,NZ2065,103.2,108.9,113.3,5.7,10.1,99,buildings_nz2065,C:/Users/b8056898/OneDrive - Newcastle University/PhD_CI/Flood_Risk/data/EDINA_data/mastermap_building_heights_4197189/nz/nz2065.gdb|layername=buildings_nz2065,1.00E+12,69,Residential
7151,osgb1000030010833,3,00:00.0,NZ2065,104.3,110.2,113.9,5.9,9.6,99,buildings_nz2065,C:/Users/b8056898/OneDrive - Newcastle University/PhD_CI/Flood_Risk/data/EDINA_data/mastermap_building_heights_4197189/nz/nz2065.gdb|layername=buildings_nz2065,1.00E+12,83,Residential
7153,osgb1000030009573,3,00:00.0,NZ2065,102.9,105.7,106.6,2.8,3.7,99,buildings_nz2065,C:/Users/b8056898/OneDrive - Newcastle University/PhD_CI/Flood_Risk/data/EDINA_data/mastermap_building_heights_4197189/nz/nz2065.gdb|layername=buildings_nz2065,1.00E+12,14,Residential
7154,osgb1000030009589,3,00:00.0,NZ2065,102.5,108.1,112.1,5.6,9.6,99,buildings_nz2065,C:/Users/b8056898/OneDrive - Newcastle University/PhD_CI/Flood_Risk/data/EDINA_data/mastermap_building_heights_4197189/nz/nz2065.gdb|layername=buildings_nz2065,1.00E+12,86,Residential
7155,osgb1000030010218,3,00:00.0,NZ2065,104.3,111.1,115,6.8,10.7,99,buildings_nz2065,C:/Users/b8056898/OneDrive - Newcastle University/PhD_CI/Flood_Risk/data/EDINA_data/mastermap_building_heights_4197189/nz/nz2065.gdb|layername=buildings_nz2065,1.00E+12,82,Residential
7157,osgb1000038612247,2,00:00.0,NZ2065,115.5,121.4,124.1,5.9,8.6,99,buildings_nz2065,C:/Users/b8056898/OneDrive - Newcastle University/PhD_CI/Flood_Risk/data/EDINA_data/mastermap_building_heights_4197189/nz/nz2065.gdb|layername=buildings_nz2065,1.00E+12,46,Residential
7159,osgb1000030011770,3,00:00.0,NZ2065,112.5,118.5,121.2,6,8.7,99,buildings_nz2065,C:/Users/b8056898/OneDrive - Newcastle University/PhD_CI/Flood_Risk/data/EDINA_data/mastermap_building_heights_4197189/nz/nz2065.gdb|layername=buildings_nz2065,1.00E+12,40,Residential
7165,osgb5000005210209764,1,00:00.0,NZ2065,102.5,105.4,106.8,2.9,4.3,99,buildings_nz2065,C:/Users/b8056898/OneDrive - Newcastle University/PhD_CI/Flood_Risk/data/EDINA_data/mastermap_building_heights_4197189/nz/nz2065.gdb|layername=buildings_nz2065,5.00E+15,12,Residential
7166,osgb1000030010289,3,00:00.0,NZ2065,103.2,105.4,106,2.2,2.8,99,buildings_nz2065,C:/Users/b8056898/OneDrive - Newcastle University/PhD_CI/Flood_Risk/data/EDINA_data/mastermap_building_heights_4197189/nz/nz2065.gdb|layername=buildings_nz2065,1.00E+12,14,Residential
7169,osgb1000030010882,2,00:00.0,NZ2065,106.1,113.4,116.4,7.3,10.3,99,buildings_nz2065,C:/Users/b8056898/OneDrive - Newcastle University/PhD_CI/Flood_Risk/data/EDINA_data/mastermap_building_heights_4197189/nz/nz2065.gdb|layername=buildings_nz2065,1.00E+12,66,Residential
7174,osgb1000038612287,2,00:00.0,NZ2065,111.4,117.8,119.4,6.4,8,99,buildings_nz2065,C:/Users/b8056898/OneDrive - Newcastle University/PhD_CI/Flood_Risk/data/EDINA_data/mastermap_building_heights_4197189/nz/nz2065.gdb|layername=buildings_nz2065,1.00E+12,49,Residential
7176,osgb5000005202733995,1,00:00.0,NZ2065,113.6,115.5,116.1,1.9,2.5,99,buildings_nz2065,C:/Users/b8056898/OneDrive - Newcastle University/PhD_CI/Flood_Risk/data/EDINA_data/mastermap_building_heights_4197189/nz/nz2065.gdb|layername=buildings_nz2065,5.00E+15,13,Residential
7177,osgb1000038612198,3,00:00.0,NZ2065,118.6,121.1,122.5,2.5,3.9,99,buildings_nz2065,C:/Users/b8056898/OneDrive - Newcastle University/PhD_CI/Flood_Risk/data/EDINA_data/mastermap_building_heights_4197189/nz/nz2065.gdb|layername=buildings_nz2065,1.00E+12,44,Residential
7178,osgb1000030010723,4,00:00.0,NZ2065,102.7,108,113.3,5.3,10.6,99,buildings_nz2065,C:/Users/b8056898/OneDrive - Newcastle University/PhD_CI/Flood_Risk/data/EDINA_data/mastermap_building_heights_4197189/nz/nz2065.gdb|layername=buildings_nz2065,1.00E+12,69,Residential
7179,osgb1000030011531,4,00:00.0,NZ2065,107.3,113.1,115.8,5.8,8.5,99,buildings_nz2065,C:/Users/b8056898/OneDrive - Newcastle University/PhD_CI/Flood_Risk/data/EDINA_data/mastermap_building_heights_4197189/nz/nz2065.gdb|layername=buildings_nz2065,1.00E+12,65,Residential
7182,osgb1000030010190,3,00:00.0,NZ2065,104.6,111.7,116.1,7.1,11.5,99,buildings_nz2065,C:/Users/b8056898/OneDrive - Newcastle University/PhD_CI/Flood_Risk/data/EDINA_data/mastermap_building_heights_4197189/nz/nz2065.gdb|layername=buildings_nz2065,1.00E+12,89,Residential
