UID,area,Type
1.00E+12,36,Public Buildings
1.00E+15,42,Public Buildings
5.00E+15,111,Public Buildings
1.00E+12,44,Public Buildings
5.00E+15,109,Public Buildings
5.00E+15,13,Public Buildings
5.00E+15,10,Public Buildings
5.00E+15,12,Public Buildings
1.00E+12,662,Public Buildings
1.00E+15,91,Public Buildings
1.00E+15,19,Public Buildings
5.00E+15,6,Public Buildings
5.00E+15,137,Public Buildings
1.00E+15,2914,Public Buildings
1.00E+12,286,Public Buildings
5.00E+15,42,Public Buildings
1.00E+12,5387,Public Buildings
5.00E+15,763,Public Buildings
1.00E+15,6,Public Buildings
1.00E+15,34,Public Buildings
5.00E+15,23,Public Buildings
5.00E+15,32,Public Buildings
1.00E+12,17,Public Buildings
5.00E+15,673,Public Buildings
1.00E+12,16,Public Buildings
1.00E+12,90,Public Buildings
5.00E+15,38,Public Buildings
1.00E+12,744,Public Buildings
1.00E+12,21,Public Buildings
1.00E+15,37,Public Buildings
5.00E+15,24,Public Buildings
1.00E+12,888,Public Buildings
5.00E+15,375,Public Buildings
5.00E+15,10,Public Buildings
1.00E+12,21,Public Buildings
1.00E+12,31,Public Buildings
1.00E+12,167,Public Buildings
5.00E+15,87,Public Buildings
5.00E+15,13,Public Buildings
5.00E+15,23,Public Buildings
5.00E+15,26,Public Buildings
1.00E+15,81,Public Buildings
5.00E+15,4,Public Buildings
1.00E+15,249,Public Buildings
1.00E+15,1646,Public Buildings
1.00E+12,5,Public Buildings
5.00E+15,24,Public Buildings
1.00E+12,35,Public Buildings
1.00E+12,156,Public Buildings
1.00E+15,13419,Public Buildings
1.00E+15,29,Public Buildings
1.00E+15,828,Public Buildings
1.00E+12,46,Public Buildings
1.00E+15,1241,Public Buildings
5.00E+15,13,Public Buildings
1.00E+12,15,Public Buildings
1.00E+15,326,Public Buildings
5.00E+15,4,Public Buildings
1.00E+12,96,Public Buildings
5.00E+15,13,Public Buildings
5.00E+15,70,Public Buildings
1.00E+15,26536,Public Buildings
5.00E+15,61,Public Buildings
1.00E+12,2472,Public Buildings
5.00E+15,91,Public Buildings
5.00E+15,5,Public Buildings
5.00E+15,15,Public Buildings
1.00E+15,13,Public Buildings
1.00E+12,511,Public Buildings
5.00E+15,24,Public Buildings
1.00E+15,20,Public Buildings
1.00E+12,992,Public Buildings
5.00E+15,20,Public Buildings
1.00E+12,102,Residential
1.00E+12,52,Residential
1.00E+12,95,Residential
1.00E+12,82,Residential
1.00E+12,69,Residential
1.00E+12,46,Residential
1.00E+12,492,Residential
1.00E+12,54,Residential
1.00E+12,59,Residential
1.00E+12,79,Residential
1.00E+12,46,Residential
1.00E+12,65,Residential
1.00E+12,50,Residential
1.00E+12,69,Residential
1.00E+12,1,Residential
1.00E+12,56,Residential
1.00E+12,93,Residential
1.00E+12,57,Residential
1.00E+12,70,Residential
1.00E+12,74,Residential
1.00E+12,87,Residential
1.00E+12,70,Residential
1.00E+12,78,Residential
1.00E+12,90,Residential
1.00E+12,60,Residential
1.00E+12,79,Residential
1.00E+12,125,Residential
1.00E+12,86,Residential
1.00E+12,64,Residential
1.00E+12,65,Residential
1.00E+12,90,Residential
1.00E+12,82,Residential
1.00E+12,52,Residential
1.00E+12,83,Residential
1.00E+12,14,Residential
1.00E+12,85,Residential
1.00E+12,47,Residential
1.00E+12,63,Residential
1.00E+12,29,Residential
1.00E+12,43,Residential
1.00E+12,62,Residential
1.00E+12,78,Residential
1.00E+12,87,Residential
1.00E+12,92,Residential
1.00E+12,53,Residential
1.00E+12,41,Residential
5.00E+15,9,Residential
1.00E+12,97,Residential
1.00E+12,85,Residential
1.00E+12,87,Residential
1.00E+12,94,Residential
1.00E+12,85,Residential
1.00E+12,47,Residential
5.00E+15,15,Residential
